timestamp,accX,accY,accZ,geoX,geoY,geoZ,label
1.59E+12,-3.1344643,2.593513,-0.7566826,-3.7032974,2.3788755,-5.9225297,0
1.59E+12,-3.106437,2.657952,-1.5850465,-2.0190172,2.8271284,-7.6904907,0
1.59E+12,-2.417012,2.4727798,-1.9505999,0.5878857,1.3842976,-7.8045526,0
1.59E+12,-1.8226885,2.399238,-2.1302624,1.6938607,1.4253386,-8.189379,0
1.59E+12,-1.2082427,2.1031542,-2.1731417,2.7726526,1.7669916,-8.141942,0
1.59E+12,-0.80124724,1.8868406,-1.9539535,3.4122527,3.2679195,-6.5536017,0
1.59E+12,-0.1094268,1.9795463,-1.4813213,3.8994148,1.6385386,-4.0298467,0
1.59E+12,0.0731103,1.575186,-0.8572936,3.5076597,2.7573056,-2.6424472,0
1.59E+12,0.11886434,1.0424268,-0.38274506,3.3040538,3.9027226,-1.5071574,0
1.59E+12,0.1329978,0.75448775,-0.0940873,2.7102916,2.9108095,-0.40597942,0
1.59E+12,0.1670139,0.7250231,0.109530196,2.4587157,3.9032555,1.0725626,0
1.59E+12,0.060414147,0.7571228,0.0242504,3.1254988,3.2721834,1.8256916,0
1.59E+12,-0.05217435,0.6292031,0.089168444,2.8712578,3.0451255,2.5670946,0
1.59E+12,-0.1956648,0.8134171,0.29326504,2.7763836,3.1458626,3.3180916,0
1.59E+12,-0.34586266,0.99451685,0.3006911,2.3228006,2.1869955,3.7578166,0
1.59E+12,-0.5252856,1.1945411,0.6197717,1.1741858,3.9970636,4.1357136,0
1.59E+12,-0.77753174,1.2256826,0.61138743,-1.5819573,4.6872983,4.3782287,0
1.59E+12,-0.81753665,1.584768,0.7740419,-2.8670204,4.2193246,6.0950212,0
1.59E+12,-1.0460674,2.3664198,0.0879707,-3.6787794,4.7421975,5.5897374,0
1.59E+12,-2.0212753,2.6720855,0.26643544,-5.8177085,4.6547856,4.7561255,0
1.59E+12,-2.1597352,2.8934298,0.065453,-5.8273025,3.5818565,2.9956267,0
1.59E+12,-2.6603947,2.661785,0.012751999,-7.1443453,4.0860744,0.69679755,0
1.59E+12,-3.1828532,2.5719535,-0.7197919,-5.1930323,3.9853375,-5.3229046,0
1.59E+12,-3.0178034,2.816055,-0.1065439,-7.4918613,4.7970967,-2.5928783,0
1.59E+12,-2.9533644,2.4926627,-1.3641814,-3.7112923,3.8643465,-7.3547006,0
1.59E+12,-2.3178382,2.3479743,-1.6832621,-0.6273543,3.1021566,-6.8877926,0
1.59E+12,-1.2813054,2.174061,-2.1197221,0.7115417,1.6923716,-6.3340054,0
1.59E+12,-0.79382116,1.658789,-1.9431738,1.9203857,2.0702686,-5.6283135,0
1.59E+12,-0.43114248,1.512424,-2.1281064,2.7918408,3.9107175,-4.812824,0
1.59E+12,-0.15230624,1.438403,-1.6844597,4.1461935,1.9348867,-2.7048082,0
1.59E+12,0.25636604,1.4340911,-0.98689014,4.5816545,1.1769607,-1.3403285,0
1.59E+12,0.22618274,1.2779045,-0.6364285,4.998461,2.0724006,-1.0466454,0
1.59E+12,0.02112795,0.9396599,-0.3278881,4.4228206,2.5243845,-0.36653742,0
1.59E+12,0.13970521,0.8392884,0.0898871,4.4670596,1.9236937,0.64029956,0
1.59E+12,0.20462325,0.8634831,0.06808805,4.0955586,2.7045386,1.4040885,0
1.59E+12,0.0113064,0.63279635,0.26547724,3.2720737,2.8436515,1.7590666,0
1.59E+12,-0.21842206,0.77341217,0.48801917,2.6916368,3.0946946,2.7392538,0
1.59E+12,0.01921155,0.72622085,0.3811799,1.9422387,2.9896936,3.3303506,0
1.59E+12,-0.27256036,0.9001342,0.608992,1.7983288,1.7659256,4.1847496,0
1.59E+12,-0.42826787,1.2910798,0.46358508,-0.5271503,4.1249833,3.9747477,0
1.59E+12,-0.61391914,1.0867436,0.7788329,-0.6955783,1.7014327,5.1084385,0
1.59E+12,-0.6302085,1.9472072,0.4338809,-3.1223273,3.1309385,5.1254945,0
1.59E+12,-0.89323443,2.0528488,0.5045482,-3.5657833,2.7962146,5.3152423,0
1.59E+12,-1.8650888,2.8471966,0.2202023,-5.2740483,4.4303927,4.2860193,0
1.59E+12,-1.9788749,2.7978492,-0.0869008,-5.4675274,3.9229765,2.0346277,0
1.59E+12,-2.8395782,2.6009393,0.31434545,-6.7222095,4.0690184,0.047603562,0
1.59E+12,-2.5113947,2.6517236,-0.20931084,-5.703113,3.6511464,-2.5006692,0
1.59E+12,-3.1399739,2.3745644,-0.3408238,-4.459091,3.8099806,-5.0516076,0
1.59E+12,-2.6469798,2.4299004,-1.1509819,-2.8872743,2.7402496,-7.0146465,0
1.59E+12,-2.6199107,2.3580356,-1.2029642,-0.43014434,1.1567067,-7.0002556,0
1.59E+12,-1.4772574,2.272516,-1.9848554,0.21691768,0.7244436,-6.8142385,0
1.59E+12,-1.2896897,1.8082682,-1.7043425,1.3916497,0.6642146,-6.3862395,0
1.59E+12,-0.43066335,1.6096814,-1.4499403,2.1005397,1.8282866,-4.529268,0
1.59E+12,-0.6659015,1.4585252,-1.8451979,1.7743437,1.1961486,-5.5281096,0
1.59E+12,-0.14320335,1.3636634,-1.1009159,3.0514116,2.0798626,-3.2340772,0
1.59E+12,-0.0643914,1.0865041,-0.8053112,3.2971246,2.9753025,-2.3476985,0
1.59E+12,0.1559946,0.7623929,-0.2550649,3.5401728,2.7983465,-1.4559895,0
1.59E+12,0.22187085,0.64118063,-0.0811516,3.4223797,3.4464746,-0.18478444,0
1.59E+12,0.2661876,0.681425,0.04413305,3.5646906,3.2348735,0.85083455,0
1.59E+12,0.18905249,0.49721104,0.14378585,3.1633418,2.7439806,1.6194205,0
1.59E+12,0.0261585,0.62728673,0.35075706,3.1377578,3.1810405,2.2963307,0
1.59E+12,-0.1070313,0.599978,0.3351863,1.9955387,3.1831725,2.8463867,0
1.59E+12,-0.116134204,0.7762868,0.534971,2.1090677,3.1837056,3.7871315,0
1.59E+12,-0.3417903,0.9621776,0.381659,-0.13912633,3.4411445,4.4747014,0
1.59E+12,-0.31807485,1.1372887,0.6662444,0.034631677,2.1592796,4.7945013,0
1.59E+12,-1.2353117,2.1227975,0.2820062,-2.3068373,1.9892527,5.5540266,0
1.59E+12,-1.0209146,1.6075252,0.47364622,-1.6709683,1.6044266,5.6355753,0
1.59E+12,-1.6207478,2.3824697,0.31913644,-3.8584003,3.2103555,4.6191444,0
1.59E+12,-2.2148318,2.4756544,0.2949419,-5.258058,3.2839096,2.1502886,0
1.59E+12,-2.2038124,2.4969745,0.49400797,-4.842851,3.7140405,3.2509336,0
1.59E+12,-2.3686228,2.5273974,0.1837907,-5.991999,3.2391374,-0.28392243,0
1.59E+12,-2.8036456,2.3149164,0.01730345,-5.0635133,3.5040386,-2.7794282,0
1.59E+12,-2.8149047,2.403071,-0.6764334,-3.4144113,3.6122375,-5.1081057,0
1.59E+12,-2.4725876,2.204963,-1.3469338,-0.8011123,2.0105724,-5.9880886,0
1.59E+12,-1.6415886,1.9119934,-1.7546479,-0.24785833,-0.34422138,-5.9779615,0
1.59E+12,-1.4525837,1.3078482,-1.4449098,0.06394667,-0.5387664,-6.6724606,0
1.59E+12,-1.5690049,1.2139447,-1.6985931,1.8537607,0.4344916,-5.8308535,0
1.59E+12,-0.7605237,1.4161248,-2.0516899,1.4252287,1.7488697,-6.0120735,0
1.59E+12,-0.84963626,1.320784,-1.5927122,2.2060738,1.9913846,-4.9577994,0
1.59E+12,-0.1731471,1.4539738,-1.046059,3.8674347,1.2952867,-3.1711833,0
1.59E+12,0.28654936,1.1624415,-0.8659174,4.0507865,1.6182847,-2.5827513,0
1.59E+12,-0.01001355,0.86228526,-0.298663,3.2182407,3.0712426,-2.0262992,0
1.59E+12,0.053467203,0.79377395,-0.0246178,3.4522276,3.8227725,-0.69912946,0
1.59E+12,0.081255004,0.8222804,-0.0313252,3.5940056,3.3713214,0.32263157,0
1.59E+12,0.0113064,0.799044,0.43723458,3.1484177,2.9363935,2.8463867,0
1.59E+12,0.115989745,0.6723221,0.19936146,2.9597356,4.1249833,1.5623895,0
1.59E+12,0.0228048,0.8725859,0.58743244,1.0334737,3.8185086,3.2050958,0
1.59E+12,-0.3159189,0.8428817,1.1429489,0.5026057,2.1901934,4.1170583,0
1.59E+12,-0.27783045,1.1919061,0.55964464,-1.2706853,3.8147776,4.7779784,0
1.59E+12,-0.5387004,1.4051056,0.6557042,-2.2338164,2.5393085,5.3957253,0
1.59E+12,-1.1301494,1.8918711,0.4204661,-2.7263083,2.5920756,5.8679633,0
